series_id,sample_start,sample_end,n_observations,threshold_quantile,run_length,threshold,n_exceedances,n_clusters,theta_runs,lambda_runs,lambda_runs_ci_lower,lambda_runs_ci_upper,n_bootstrap,block_size,ci_level
unrate,1990-02-01,2026-05-01,435,0.9,1,8.2,42,2,0.047619047619047616,2.027586206896552,0.3873563218390804,1.8902873563218374,250,36,0.9
unrate,1990-02-01,2026-05-01,435,0.9,2,8.2,42,2,0.047619047619047616,2.027586206896552,0.4541707717569786,1.9321839080459768,250,36,0.9
unrate,1990-02-01,2026-05-01,435,0.9,4,8.2,42,2,0.047619047619047616,2.027586206896552,0.4967578908958219,2.1252873563218393,250,36,0.9
unrate,1990-02-01,2026-05-01,435,0.9,6,8.2,42,2,0.047619047619047616,2.027586206896552,0.5604597701149423,2.1252873563218393,250,36,0.9
unrate,1990-02-01,2026-05-01,435,0.9,8,8.2,42,2,0.047619047619047616,2.027586206896552,0.5958620689655172,2.1802873563218372,250,36,0.9
baa10ym,1990-02-01,2026-05-01,435,0.9,1,3.16,43,10,0.23255813953488372,0.4250574712643678,0.25762452107279693,0.6357963875205255,250,36,0.9
baa10ym,1990-02-01,2026-05-01,435,0.9,2,3.16,43,9,0.20930232558139536,0.4722860791826309,0.26714798850574717,0.7417624521072798,250,36,0.9
baa10ym,1990-02-01,2026-05-01,435,0.9,4,3.16,43,7,0.16279069767441862,0.6072249589490968,0.3036124794745484,0.8901149425287357,250,36,0.9
baa10ym,1990-02-01,2026-05-01,435,0.9,6,3.16,43,7,0.16279069767441862,0.6072249589490968,0.33793103448275863,0.8901149425287357,250,36,0.9
baa10ym,1990-02-01,2026-05-01,435,0.9,8,3.16,43,7,0.16279069767441862,0.6072249589490968,0.3526149425287356,0.8901149425287357,250,36,0.9
kcfsi,1990-02-01,2026-05-01,435,0.9,1,1.0677301406733581,44,12,0.2727272727272727,0.3708812260536399,0.23614303959131544,0.6072249589490968,250,36,0.9
kcfsi,1990-02-01,2026-05-01,435,0.9,2,1.0677301406733581,44,8,0.18181818181818182,0.5563218390804597,0.27816091954022987,0.7417624521072798,250,36,0.9
kcfsi,1990-02-01,2026-05-01,435,0.9,4,1.0677301406733581,44,7,0.1590909090909091,0.6357963875205255,0.28337164750957855,0.872114942528735,250,36,0.9
kcfsi,1990-02-01,2026-05-01,435,0.9,6,1.0677301406733581,44,6,0.13636363636363635,0.7417624521072798,0.35421455938697316,0.8901149425287357,250,36,0.9
kcfsi,1990-02-01,2026-05-01,435,0.9,8,1.0677301406733581,44,6,0.13636363636363635,0.7417624521072798,0.36171455938697317,0.8901149425287357,250,36,0.9
